population_group_id,population_group_name,measure_id,measure_name,location_id,location_name,sex_id,sex_name,age_id,age_name,cause_id,cause_name,metric_id,metric_name,year,val,upper,lower
1,All Population,5,Prevalence,69,Singapore,1,Male,7,10-14 years,567,Depressive disorders,2,Percent,2020,0.016366037282929,0.0232573004315742,0.0110812667106147
1,All Population,5,Prevalence,69,Singapore,2,Female,7,10-14 years,567,Depressive disorders,2,Percent,2020,0.024731092359706,0.034199179973117,0.0180912188004361
1,All Population,5,Prevalence,69,Singapore,1,Male,8,15-19 years,567,Depressive disorders,2,Percent,2020,0.0213687841425415,0.027485122710482,0.0152380853970523
1,All Population,5,Prevalence,69,Singapore,2,Female,8,15-19 years,567,Depressive disorders,2,Percent,2020,0.026950819513398,0.0341430920886673,0.0202395061428272
1,All Population,5,Prevalence,69,Singapore,1,Male,9,20-24 years,567,Depressive disorders,2,Percent,2020,0.0207985993965234,0.0263275307088212,0.0161860652549045
1,All Population,5,Prevalence,69,Singapore,2,Female,9,20-24 years,567,Depressive disorders,2,Percent,2020,0.0263232191540501,0.0331777158298142,0.0209881427546387
1,All Population,5,Prevalence,69,Singapore,1,Male,10,25-29 years,567,Depressive disorders,2,Percent,2020,0.0204245789419871,0.0259616469389219,0.0160671853045375
1,All Population,5,Prevalence,69,Singapore,2,Female,10,25-29 years,567,Depressive disorders,2,Percent,2020,0.0260616597118817,0.0322162090608638,0.0208195492644653
1,All Population,5,Prevalence,69,Singapore,1,Male,11,30-34 years,567,Depressive disorders,2,Percent,2020,0.0199426901218864,0.025478343593769,0.0151575277687043
1,All Population,5,Prevalence,69,Singapore,2,Female,11,30-34 years,567,Depressive disorders,2,Percent,2020,0.0256791583116622,0.0320003228603677,0.0203431856753198
1,All Population,5,Prevalence,69,Singapore,1,Male,12,35-39 years,567,Depressive disorders,2,Percent,2020,0.0192097461307906,0.0243482846492385,0.0151350909777473
1,All Population,5,Prevalence,69,Singapore,2,Female,12,35-39 years,567,Depressive disorders,2,Percent,2020,0.0248184127423149,0.0303808111051036,0.0201814558833556
1,All Population,5,Prevalence,69,Singapore,1,Male,13,40-44 years,567,Depressive disorders,2,Percent,2020,0.0184999255647812,0.0235289783205023,0.0144128943495908
1,All Population,5,Prevalence,69,Singapore,2,Female,13,40-44 years,567,Depressive disorders,2,Percent,2020,0.0239035822379775,0.0297066963703738,0.0192042045763928
1,All Population,5,Prevalence,69,Singapore,1,Male,14,45-49 years,567,Depressive disorders,2,Percent,2020,0.0177188312905476,0.0225947871464808,0.013931405797429
1,All Population,5,Prevalence,69,Singapore,2,Female,14,45-49 years,567,Depressive disorders,2,Percent,2020,0.0229262874933633,0.0286175637510689,0.0182957693590635
1,All Population,5,Prevalence,69,Singapore,1,Male,15,50-54 years,567,Depressive disorders,2,Percent,2020,0.0171435369438163,0.0222348939528631,0.0137234027639346
1,All Population,5,Prevalence,69,Singapore,2,Female,15,50-54 years,567,Depressive disorders,2,Percent,2020,0.0222825128029523,0.0281437495491271,0.0184019768542693
1,All Population,5,Prevalence,69,Singapore,1,Male,16,55-59 years,567,Depressive disorders,2,Percent,2020,0.0167030728816824,0.020818214817376,0.0135726726889234
1,All Population,5,Prevalence,69,Singapore,2,Female,16,55-59 years,567,Depressive disorders,2,Percent,2020,0.0216528103197196,0.0265091183564137,0.0176986637965792
1,All Population,5,Prevalence,69,Singapore,1,Male,17,60-64 years,567,Depressive disorders,2,Percent,2020,0.0164317837235959,0.0205415613410438,0.0129566507571337
1,All Population,5,Prevalence,69,Singapore,2,Female,17,60-64 years,567,Depressive disorders,2,Percent,2020,0.021212628295924,0.0266733788782345,0.0166843494130116
1,All Population,5,Prevalence,69,Singapore,1,Male,18,65-69 years,567,Depressive disorders,2,Percent,2020,0.0163997092180981,0.0207713941996585,0.0129288580510248
1,All Population,5,Prevalence,69,Singapore,2,Female,18,65-69 years,567,Depressive disorders,2,Percent,2020,0.0210702658092589,0.0265425504694457,0.016774549268126
1,All Population,5,Prevalence,69,Singapore,1,Male,19,70-74 years,567,Depressive disorders,2,Percent,2020,0.016212684790135,0.0203980914889317,0.0129011359229793
1,All Population,5,Prevalence,69,Singapore,2,Female,19,70-74 years,567,Depressive disorders,2,Percent,2020,0.0205941867657684,0.0253830125037826,0.0166460588833451
1,All Population,5,Prevalence,69,Singapore,1,Male,20,75-79 years,567,Depressive disorders,2,Percent,2020,0.0161766863281529,0.0208238554863855,0.0128709222947337
1,All Population,5,Prevalence,69,Singapore,2,Female,20,75-79 years,567,Depressive disorders,2,Percent,2020,0.0203238518150282,0.025540344651998,0.0163214001597107
1,All Population,5,Prevalence,69,Singapore,1,Male,30,80-84 years,567,Depressive disorders,2,Percent,2020,0.0162302387758814,0.0213236284110993,0.0122638139403652
