population_group_id,population_group_name,measure_id,measure_name,location_id,location_name,sex_id,sex_name,age_id,age_name,cause_id,cause_name,metric_id,metric_name,year,val,upper,lower
1,All Population,5,Prevalence,33,Armenia,3,Both,27,Age-standardized,567,Depressive disorders,2,Percent,2020,0.0398465349431861,0.0502372704432447,0.032237918456755
1,All Population,5,Prevalence,22,Fiji,3,Both,27,Age-standardized,567,Depressive disorders,2,Percent,2020,0.0287155042693327,0.0391122195998781,0.0209606820501815
1,All Population,5,Prevalence,35,Georgia,3,Both,27,Age-standardized,567,Depressive disorders,2,Percent,2020,0.0437439045732746,0.053028629288917,0.0370263539412841
1,All Population,5,Prevalence,37,Kyrgyzstan,3,Both,27,Age-standardized,567,Depressive disorders,2,Percent,2020,0.0358703836435727,0.0449363540110102,0.0290614601003766
1,All Population,5,Prevalence,69,Singapore,3,Both,27,Age-standardized,567,Depressive disorders,2,Percent,2020,0.0185670929837338,0.0219809538752797,0.0158640722656955
1,All Population,5,Prevalence,16,Philippines,3,Both,27,Age-standardized,567,Depressive disorders,2,Percent,2020,0.0277854525021035,0.0333665786298953,0.0235706329442628
1,All Population,5,Prevalence,6,China,3,Both,27,Age-standardized,567,Depressive disorders,2,Percent,2020,0.0353272122796751,0.0400181108171724,0.0317801086121684
1,All Population,5,Prevalence,48,Hungary,3,Both,27,Age-standardized,567,Depressive disorders,2,Percent,2020,0.0316224509414188,0.0363039527758832,0.0279004106668597
1,All Population,5,Prevalence,18,Thailand,3,Both,27,Age-standardized,567,Depressive disorders,2,Percent,2020,0.0227187591059643,0.0280742288663757,0.0187194607799444
1,All Population,5,Prevalence,8,Taiwan,3,Both,27,Age-standardized,567,Depressive disorders,2,Percent,2020,0.0256631583639264,0.0303631566172097,0.0217342475185175
1,All Population,5,Prevalence,80,France,3,Both,27,Age-standardized,567,Depressive disorders,2,Percent,2020,0.042481763166209,0.0476860657856089,0.0381349552521249
1,All Population,5,Prevalence,34,Azerbaijan,3,Both,27,Age-standardized,567,Depressive disorders,2,Percent,2020,0.0388238524647633,0.0487434199795604,0.0313835329863664
1,All Population,5,Prevalence,23,Kiribati,3,Both,27,Age-standardized,567,Depressive disorders,2,Percent,2020,0.0370444153784759,0.0508224773885161,0.0270291109894664
1,All Population,5,Prevalence,7,Democratic People's Republic of Korea,3,Both,27,Age-standardized,567,Depressive disorders,2,Percent,2020,0.0362633253398638,0.0451397115442271,0.0294300680422878
1,All Population,5,Prevalence,20,Viet Nam,3,Both,27,Age-standardized,567,Depressive disorders,2,Percent,2020,0.0244001783022308,0.0296812118688766,0.020412219577479
1,All Population,5,Prevalence,81,Germany,3,Both,27,Age-standardized,567,Depressive disorders,2,Percent,2020,0.0480146745324714,0.0527968493555007,0.0432379759753335
1,All Population,5,Prevalence,47,Czechia,3,Both,27,Age-standardized,567,Depressive disorders,2,Percent,2020,0.033758736853294,0.0425409869309998,0.0278627331538619
1,All Population,5,Prevalence,50,Montenegro,3,Both,27,Age-standardized,567,Depressive disorders,2,Percent,2020,0.0265923881176473,0.030760798856152,0.0231941805618202
1,All Population,5,Prevalence,127,El Salvador,3,Both,27,Age-standardized,567,Depressive disorders,2,Percent,2020,0.0322080637911553,0.0399815460732893,0.0268018467629717
1,All Population,5,Prevalence,94,Switzerland,3,Both,27,Age-standardized,567,Depressive disorders,2,Percent,2020,0.0584077636248463,0.0656520094781798,0.0520872573680968
1,All Population,5,Prevalence,82,Greece,3,Both,27,Age-standardized,567,Depressive disorders,2,Percent,2020,0.0547488741468137,0.0621740530201097,0.0479408721347551
1,All Population,5,Prevalence,83,Iceland,3,Both,27,Age-standardized,567,Depressive disorders,2,Percent,2020,0.0533181868953107,0.0601523585469197,0.047221825376111
1,All Population,5,Prevalence,36,Kazakhstan,3,Both,27,Age-standardized,567,Depressive disorders,2,Percent,2020,0.0299396427888809,0.0368054512898081,0.0244227761805043
1,All Population,5,Prevalence,52,Romania,3,Both,27,Age-standardized,567,Depressive disorders,2,Percent,2020,0.0224579067209539,0.025708945889916,0.0196596628276133
1,All Population,5,Prevalence,129,Honduras,3,Both,27,Age-standardized,567,Depressive disorders,2,Percent,2020,0.0358435706652692,0.044589016458235,0.0297271610867282
1,All Population,5,Prevalence,17,Sri Lanka,3,Both,27,Age-standardized,567,Depressive disorders,2,Percent,2020,0.0275679716204115,0.0347345874103424,0.0227078635397242
1,All Population,5,Prevalence,63,Ukraine,3,Both,27,Age-standardized,567,Depressive disorders,2,Percent,2020,0.0548911416029171,0.0677486093250175,0.0458509043528285
1,All Population,5,Prevalence,93,Sweden,3,Both,27,Age-standardized,567,Depressive disorders,2,Percent,2020,0.0501933258668164,0.0558531631765262,0.0455086326365009
1,All Population,5,Prevalence,49,North Macedonia,3,Both,27,Age-standardized,567,Depressive disorders,2,Percent,2020,0.0257450770510259,0.0296678867912965,0.0225148395841102
